,Vaccine,Geographic Level,Geographic Name,Demographic Level,Demographic Name,indicator_label,indicator_category_label,Month_Week,Week_ending,Estimate,CI_Half_width_95pct,Unweighted Sample Size,Current_Season_Week_Ending_Label,COVID_season,suppression_flag
0,COVID,State,Nebraska,Overall,18+ years,4-level vaccination and intent,Probably will get a vaccine or are unsure,November Week 3,11/15/2025 12:00:00 AM,19.6,5.4005,234,11/15/2025 12:00:00 AM,2025-2026,0
1,COVID,State,Oregon,Overall,18+ years,4-level vaccination and intent,Probably will get a vaccine or are unsure,November Week 3,11/15/2025 12:00:00 AM,27.6,10.1055,98,11/15/2025 12:00:00 AM,2025-2026,0
2,COVID,State,Nebraska,Overall,18+ years,4-level vaccination and intent,Definitely will get a vaccine,November Week 3,11/15/2025 12:00:00 AM,10.8,4.3229,234,11/15/2025 12:00:00 AM,2025-2026,0
3,COVID,State,Oregon,Overall,18+ years,4-level vaccination and intent,Received a vaccination,November Week 3,11/15/2025 12:00:00 AM,19.1,2.9458,3167,11/15/2025 12:00:00 AM,2025-2026,0
4,COVID,State,Nevada,Overall,18+ years,4-level vaccination and intent,Definitely or probably will not get a vaccine,November Week 3,11/15/2025 12:00:00 AM,51.7,10.0616,112,11/15/2025 12:00:00 AM,2025-2026,0
5,COVID,State,Oregon,Overall,18+ years,Up-to-date,Yes,November Week 3,11/15/2025 12:00:00 AM,19.1,2.9458,3167,11/15/2025 12:00:00 AM,2025-2026,0
6,COVID,State,Nevada,Overall,18+ years,4-level vaccination and intent,Definitely will get a vaccine,November Week 3,11/15/2025 12:00:00 AM,11.1,6.2121,112,11/15/2025 12:00:00 AM,2025-2026,0
7,COVID,State,Pennsylvania,Overall,18+ years,4-level vaccination and intent,Definitely or probably will not get a vaccine,November Week 3,11/15/2025 12:00:00 AM,54.6,4.7937,760,11/15/2025 12:00:00 AM,2025-2026,0
8,COVID,State,Nevada,Overall,18+ years,4-level vaccination and intent,Received a vaccination,November Week 3,11/15/2025 12:00:00 AM,9.0,1.3609,2058,11/15/2025 12:00:00 AM,2025-2026,0
9,COVID,State,Pennsylvania,Overall,18+ years,4-level vaccination and intent,Received a vaccination,November Week 3,11/15/2025 12:00:00 AM,15.5,1.8597,8416,11/15/2025 12:00:00 AM,2025-2026,0
10,COVID,State,New Jersey,Overall,18+ years,4-level vaccination and intent,Definitely will get a vaccine,November Week 3,11/15/2025 12:00:00 AM,13.0,4.673,234,11/15/2025 12:00:00 AM,2025-2026,0
11,COVID,State,Puerto Rico,Overall,18+ years,4-level vaccination and intent,Definitely will get a vaccine,November Week 3,11/15/2025 12:00:00 AM,9.5,4.2517,347,11/15/2025 12:00:00 AM,2025-2026,0
12,COVID,State,New Jersey,Overall,18+ years,4-level vaccination and intent,Received a vaccination,November Week 3,11/15/2025 12:00:00 AM,12.6,2.5157,3499,11/15/2025 12:00:00 AM,2025-2026,0
13,COVID,State,Puerto Rico,Overall,18+ years,4-level vaccination and intent,Received a vaccination,November Week 3,11/15/2025 12:00:00 AM,4.2,0.8426,5719,11/15/2025 12:00:00 AM,2025-2026,0
14,COVID,State,New Mexico,Overall,18+ years,4-level vaccination and intent,Definitely or probably will not get a vaccine,November Week 3,11/15/2025 12:00:00 AM,47.1,8.507799999999998,145,11/15/2025 12:00:00 AM,2025-2026,0
15,COVID,State,Rhode Island,Overall,18+ years,4-level vaccination and intent,Probably will get a vaccine or are unsure,November Week 3,11/15/2025 12:00:00 AM,28.4,7.722699999999999,212,11/15/2025 12:00:00 AM,2025-2026,0
16,COVID,State,New Mexico,Overall,18+ years,4-level vaccination and intent,Definitely will get a vaccine,November Week 3,11/15/2025 12:00:00 AM,9.1,4.4351,145,11/15/2025 12:00:00 AM,2025-2026,0
17,COVID,State,Rhode Island,Overall,18+ years,4-level vaccination and intent,Definitely will get a vaccine,November Week 3,11/15/2025 12:00:00 AM,8.8,4.7148,212,11/15/2025 12:00:00 AM,2025-2026,0
18,COVID,State,New Mexico,Overall,18+ years,4-level vaccination and intent,Probably will get a vaccine or are unsure,November Week 3,11/15/2025 12:00:00 AM,28.5,8.1705,145,11/15/2025 12:00:00 AM,2025-2026,0
19,COVID,State,South Carolina,Overall,18+ years,4-level vaccination and intent,Received a vaccination,November Week 3,11/15/2025 12:00:00 AM,9.0,1.2203,4157,11/15/2025 12:00:00 AM,2025-2026,0
20,COVID,State,New Mexico,Overall,18+ years,Up-to-date,Yes,November Week 3,11/15/2025 12:00:00 AM,15.3,1.9452,1961,11/15/2025 12:00:00 AM,2025-2026,0
21,COVID,State,South Dakota,Overall,18+ years,4-level vaccination and intent,Received a vaccination,November Week 3,11/15/2025 12:00:00 AM,14.6,3.3876,2547,11/15/2025 12:00:00 AM,2025-2026,0
22,COVID,State,New York,Overall,18+ years,4-level vaccination and intent,Probably will get a vaccine or are unsure,November Week 3,11/15/2025 12:00:00 AM,32.6,10.2514,181,11/15/2025 12:00:00 AM,2025-2026,0
23,COVID,State,South Dakota,Overall,18+ years,Up-to-date,Yes,November Week 3,11/15/2025 12:00:00 AM,14.6,3.3876,2547,11/15/2025 12:00:00 AM,2025-2026,0
24,COVID,State,North Carolina,Overall,18+ years,4-level vaccination and intent,Definitely or probably will not get a vaccine,November Week 3,11/15/2025 12:00:00 AM,54.3,7.5124,193,11/15/2025 12:00:00 AM,2025-2026,0
25,COVID,State,Tennessee,Overall,18+ years,4-level vaccination and intent,Definitely or probably will not get a vaccine,November Week 3,11/15/2025 12:00:00 AM,62.1,6.5943,243,11/15/2025 12:00:00 AM,2025-2026,0
26,COVID,State,North Carolina,Overall,18+ years,4-level vaccination and intent,Probably will get a vaccine or are unsure,November Week 3,11/15/2025 12:00:00 AM,20.1,6.2479,193,11/15/2025 12:00:00 AM,2025-2026,0
27,COVID,State,Tennessee,Overall,18+ years,4-level vaccination and intent,Probably will get a vaccine or are unsure,November Week 3,11/15/2025 12:00:00 AM,18.4,5.1372,243,11/15/2025 12:00:00 AM,2025-2026,0
28,COVID,State,North Dakota,Overall,18+ years,4-level vaccination and intent,Definitely or probably will not get a vaccine,November Week 3,11/15/2025 12:00:00 AM,55.4,13.0199,72,11/15/2025 12:00:00 AM,2025-2026,0
29,COVID,State,Tennessee,Overall,18+ years,4-level vaccination and intent,Received a vaccination,November Week 3,11/15/2025 12:00:00 AM,6.9,0.9235,3969,11/15/2025 12:00:00 AM,2025-2026,0
30,COVID,State,Ohio,Overall,18+ years,4-level vaccination and intent,Definitely will get a vaccine,November Week 3,11/15/2025 12:00:00 AM,13.1,11.2553,64,11/15/2025 12:00:00 AM,2025-2026,0
31,COVID,State,Tennessee,Overall,18+ years,Up-to-date,Yes,November Week 3,11/15/2025 12:00:00 AM,6.9,0.9235,3969,11/15/2025 12:00:00 AM,2025-2026,0
32,COVID,State,Ohio,Overall,18+ years,4-level vaccination and intent,Probably will get a vaccine or are unsure,November Week 3,11/15/2025 12:00:00 AM,17.6,9.0421,64,11/15/2025 12:00:00 AM,2025-2026,0
33,COVID,State,Texas,Overall,18+ years,4-level vaccination and intent,Probably will get a vaccine or are unsure,November Week 3,11/15/2025 12:00:00 AM,25.4,5.9206,653,11/15/2025 12:00:00 AM,2025-2026,0
34,COVID,State,Oklahoma,Overall,18+ years,4-level vaccination and intent,Probably will get a vaccine or are unsure,November Week 3,11/15/2025 12:00:00 AM,22.7,6.4795,185,11/15/2025 12:00:00 AM,2025-2026,0
